"filename", "language", "C#", "XML", "JSON", "YAML", "Markdown", "HTML", "C++", "CMake", "Swift", "Groovy", "Properties", "Dart", "Python", "comment", "blank", "total"
"d:\SIC-GP5\sic_home\lib\models\create_section_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"d:\SIC-GP5\sic_home\lib\models\create_section_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 5, 22
"d:\SIC-GP5\sic_home\lib\models\device.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
"d:\SIC-GP5\sic_home\lib\models\device.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 6, 35
"d:\SIC-GP5\sic_home\lib\models\place.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"d:\SIC-GP5\sic_home\lib\models\place.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 5, 24
"d:\SIC-GP5\sic_home\lib\models\section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"d:\SIC-GP5\sic_home\lib\models\section.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 5, 26
"d:\SIC-GP5\sic_home\lib\models\update_device_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"d:\SIC-GP5\sic_home\lib\models\update_device_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 6, 33
"d:\SIC-GP5\sic_home\lib\models\update_place_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 6, 18
"d:\SIC-GP5\sic_home\lib\models\update_place_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 5, 18
"d:\SIC-GP5\sic_home\lib\models\update_section_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"d:\SIC-GP5\sic_home\lib\models\update_section_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 5, 20
